question_order,question_answer_group_id,speaker,role,company,content,year,quarter
6,2,Steven Chubak,Analyst,Wolfe Research LLC,"Very helpful color, Jeremy. Thanks for taking my question.",2023,3
7,2,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Yeah.,2023,3
0,3,Ebrahim H. Poonawala,Analyst,Bank of America Merrill Lynch,"Hey. Good morning. Just first question, Jeremy, on credit. I think you mentioned some of the reserves release was tied to the  change in the
central scenario. So just talk to us and remind us what the cen tral scenario is today, what changed? And then in terms of fundamentally on
credit, like where are you seeing softness either on the Consumer or the Commercial side?",2023,3
1,3,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. So on the central scenario, you should read the research that gets put out by our competitors and our excellent research team. No, but
in all seriousness, I think our U.S. economists had their central case outlook to include a very mild recession with I think two quarters of
negative half a percent of G DP growth in the fourth quarter and first quarter of this year, and that then got revised out early this quarter to now
have sort of modest growth I think around 1% for a few quarters into 2024. So, just flowing that through our process while ac knowledging  that
we're still skewed to the downside, we're still reserved to a significantly higher unemployment rate on a weighted -average basis than is in the
central case outlook. So that number we've sometimes given you is 5.5% this quarter. So, it's really not m uch more complicated than that.
We're just kind of following the process.
And I think your other question was where am I seeing softness in credit? And I think the answer to that is actually nowhere,  roughly. We're
certainly nowhere that's not expected, m eaning, we continue to see the normalization story play out in Consumer more or less exactly as
expected, and then of course, we are seeing a trickle of charge -offs coming through the office space. You see that in the charge -off number of
the Commercial Ba nk, but the numbers are very small and more or less just the realization of the allowance that we've already built there.",2023,3
2,3,Ebrahim H. Poonawala,Analyst,Bank of America Merrill Lynch,"That's helpful. And just going back to the details you laid out on Basel Endgame, maybe on the philo sophical side I think Jamie was speaking
last month, said that we don't expect any changes but at the same time, you make everything that makes sense in terms of the pushback. Is it
all falling on deaf ears from a shareholder perspective? Are we resigned t o the fact that we are going to see more towards the worst -case
outcome play out or is there some level of sort of meeting in the middle of the road as this thing gets finalized?",2023,3
3,3,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. So I'll let Jamie speak for himself on that point, but our job is to advocate. We're not going to guess what the sentim ent is in
Washington. It's a thousand -page rule proposal, as you know. We've got the big team of very smart people studying it very  closely.
Interestingly, we noted recently that in some of the analysis that they did about the impact on lending, they sort of forgot about like – the Fed,
in their preamble, they forgot about a $1 billion (sic) [trillion] of  operational risk RWA. So it j ust highlights that there is the possibility, or seemed
to have forgotten, they simply omitted the impact of the operational risk RWA on fees.
So anyway, the point is it's long, it’s complicated, it’s technical. We do think there are probably some technical mistakes in there. We're not
going to forcefully advocate on all of those. And while we disagree with a lot of this stuff, these are technical issues that  should be, in some
sense, resolved technically, and hopefully they'll listen.",2023,3
4,3,Ebrahim H. Poonawala,Analyst,Bank of Amer ica Merrill Lynch,Got it. Thank you.,2023,3
5,3,Jeremy Barnum,Chief Financial  Officer,JPMorgan Chase & Co.,"Sorry, I'm just getting a correction in the room. I meant to say trillion.",2023,3
6,3,Ebrahim H. Poonawala,Analyst,Bank of America Merrill Lynch,"Yeah, no. I got that. I got the trillion dollars. Yup, thanks .",2023,3
7,3,Jamie  Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Is that what we were talking about, actually?",2023,3
8,3,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,BPI put something out on it.,2023,3
9,3,Ebrahim H. Poonawala,Analyst,Bank of America Merrill Lynch,"BPI did, yeah. Thank you.",2023,3
0,4,Ryan Kenny,Analyst,Morgan Stanley & Co. LLC,Hey. Good morning.,2023,3
1,4,Jamie  Dimon,"Chairman, Chief  Executive Officer",JPMorgan Chase & Co.,Hey.,2023,3
2,4,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Hi.,2023,3
3,4,Ryan Kenny,Analyst,Morgan Stanley & Co. LLC,"Want to dig in on the NII side. So you raised the 2023 NII ex. Markets guidance by $2 billion for this year. So I know your c omments in the
press release suggest JPMorgan's over earning. So I just want to triangulate there. What does normalized NII look like? And do we get to
normalized next year or later on?",2023,3
4,4,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, a couple things. So, let me do the timing question first. So we're being very clear that we are not predicting when. When is going to be a
function of the marketplace and the rate environment and competitive dynamics and so on and so forth. So we're just really ju st trying to
remind everyone to not bank on the current run rates, which we just don 't fundamentally think are sustainable.
You'll be aware that before Investor Day earlier this year, we tried to quantify what we thought that kind of normalized rang e might look like,
and we put a sort of mid -70s type number out there. And at Investor Day , we talked about how the acquisition of First Republic was going to
push that number up a little bit, although there was some overlap and so on and so forth. So anyway, with the benefit of time  and having
everything settled in a little bit, if you sort of  push us for that, kind of, what is that number now look like, we think it’s probably closer to about
$80 billion, with all of the obvious caveats that this is a guess, and we don’t know when. But we’re just trying to point out  that it’s quite a bit
lower  than the current run rate.",2023,3
5,4,Ryan Kenny,Analyst,Morgan Stanley & Co. LLC,Got it.,2023,3
6,4,Jamie  Dimon,"Chairman, Chief  Executive Officer",JPMorgan Chase & Co.,"Inside the company, some people think it'll happen sooner, i.e. me. Some people think it'll happen later, i.e., Jenn and Mari anne and Jeremy.",2023,3
7,4,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"I wasn't aware that I was in that camp, actually.",2023,3
8,4,Jamie  Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Oh, ok.",2023,3
9,4,Jeremy Barnum,Chief Financial  Officer,JPMorgan Chase & Co.,"But I don't know, I'm not trying to have an opinion over you.",2023,3
0,5,Ryan Kenny,Analyst,Morgan Stanley & Co. LLC,"And then on the loan growth side, industry loan growth has slowed significantly this year. What demand are you seeing for loa n growth across
the different categories? And I know it might be too early to talk about next year, but directionally, how should we think ab out loan growth
given where we are in the cycle and the higher capital requirements coming?",2023,3
1,5,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, sure. So on loan growth, the story is pretty consistent with what we've been saying all year. So we've, of course, seen  very robust loan
growth in Card, and that's coming from both spending growth and the normalization in revolving balances. As we look forward, we're still
optimistic about that, but it'll probably be a little bit more muted than it has been during this normalization period.
Jeremy Barnum
Chief Financial Officer, JPMorgan Chase & Co.  A
In Auto, we've also seen pretty robust loan growth recently, both as a function of sort of slightly more competitive pricing on our side as the
industry was a little bit slow to raise rates. And so we lost some share previously, and that's come back now. And generally,  the supply chain
situatio n is better, so that's been supported. As we look forward there, it should be a little bit more muted.
And I think generally in Wholesale the loan growth story is going to be driven just by the economic environment. So depending  on what you
believe about soft landing, mild recession, no landing, you have slightly lower or slightly higher loan growth. But in any case, I would ex pect it
to be relatively muted. And, of course, Home Lending remains fairly constrained both by rates and market conditions. But al so, and I think this
is true across the board, we will be managing things actively, as mentioned in light of Basel III, which may not change origi nations, but it will
change what we retain.",2023,3
2,5,Ryan Kenny,Analyst,Morgan Stanley & Co. LLC,Thank you.,2023,3
0,6,Gerard Cassidy,Analyst,RBC Capital Markets LLC,"Good morning, Jeremy. How are you?",2023,3
1,6,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Hey, Gerard.",2023,3
2,6,Gerard Cassidy,Analyst,RBC Capital Markets LLC,"Jeremy, you guys have put up a really strong ROTCE number of 22% for the quarter. And when you dive into your different segme nts, what
really jumps out at us is the 40% ex -First Republic ROE in Consumer & Community Banking. I know you and Jamie have talked about your
over-earning on credit. We get that. But in view of all of these fintechs and all of these other nonbank competitors that we're al l supposed to
pick away at everybod y's market share, you guys have put up great numbers here. What's the drivers behind an ROE? Even when you take
that credit over -earning out, what's driving this business' profitability at such high levels?",2023,3
3,6,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, Gerard. So I'd say a couple things there. So first, it's not just credit. It's also deposit margin, right? So when we talk ab out over -earning
on NII, a disproportionate amount of that is coming out of the Consumer franchise for all of the reasons that we'v e talked about. But, I would
also point out sometimes we don't like the word over -earning because right now, customers are happy and they're doing CDs.
And the broader answer to your question about why we're able to be effectively really comes back to a d ecade, two decade long history of
investing for the future and recognizing that there's a holistic value proposition here that includes branches, and the app, and all of the online
services, and the entire suite of products and services that is around this  enterprise which drives engagement and customer loyalty. And we're
seeing some of the benefits of that now, although we're not complacent. The competition is still there. The fintechs are stil l there, and we know
we need to continue investing to preserve the value. And it's also true that the particular circumstances of the current rate and credit
environment mean that the earnings are a little bit above normal, but that core franchise is extremely robust.",2023,3
4,6,Gerard Cassidy,Analyst,RBC Capital Markets LLC,"Very good. And then as a follow up, which ties into your answer on the deposit margin and consumer and your earlier comments you and
Jamie about the internal debate inside JPMorgan about the migration of rates going higher on the funding side. Your non -interest -bearing
deposits I think are around 28% of total deposits which is slightly above the 26% you guys had back in 2018 or 2019 or pre -pandemic. Is this
expectation that you're going to see more of the non -interest -bearing depos its go into interest -bearing? Or, is it just the repricing of interest -
bearing deposits that have some of your folks inside JPMorgan a little more cautious on that net interest income number?",2023,3
5,6,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. It's a good question, Ge rard. I think it's a little bit bigger picture than that. And I'm not sure – I get your questions, a good question, but
I'm not sure that the reported interest -bearing, non -interest -bearing split is the best lens to look at this through for a couple of rea sons. So first,
like between Wholesale and Retail, we've got some amount of non -interest -bearing and Wholesale that's part of the ECR product, so you see
some dynamics there that play out. And in Consumer, in a world where savings is paying a relatively lo w-rate paid to cross -checking and
savings, the migration dynamics are probably not that different right now.
But then of course, even within Consumer across both consumers and small businesses, you've got slightly different dynamics i n terms of how
people  manage their operating balances. So I would tend to zoom out a little bit and see this as a holistic answer, that's driven by  internal
migration from checking, savings to CDs, from ECR to interest -bearing and Wholesale and then our potential response to t he rate
environment, the competitive environment, the overall level of system -wide deposits in terms of product level reprice that may or may not
happen in moments in the future.",2023,3
6,6,Gerard Cassidy,Analyst,RBC Capital Markets LLC,Great. Thank you .,2023,3
0,7,Erika Najarian,Analyst,UBS S ecurities LLC,"Hi. Good morning. Jeremy, my first question is for you, again sort of maybe re -asking the question in a different way. Your new guide for net
interest income for this year would imply an exit run rate of $22.9 billion in the fourth quarter . As we think about the dynamics in higher -for-
longer, on one hand, your fixed rate assets will continue to reprice. On the other, you even asked a lot about the deposit dy namics that could
continue to creep higher. How do we think about those puts and tak es as we think about that relative to that exit rate of $22.9 billion in the
fourth quarter?",2023,3
1,7,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. So, Erika, I think the simple answer to your question is I believe that fourth quarter exit number equates to a $90 billion run rate ex.
Markets and we're kind of saying...",2023,3
2,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,$22.5 billion.,2023,3
3,7,Jeremy Barnum,Chief Financi al Officer,JPMorgan Chase & Co.,Yeah. Isn't that what I meant to say?,2023,3
4,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,She said $22.9 billion.,2023,3
5,7,Jeremy Barnum,Chief Financial  Officer,JPMorgan Chase & Co.,"Oh, I didn't hear that, okay. Anyway...",2023,3
6,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,We didn’t model it that way.,2023,3
7,7,Jeremy Barnum,Chief Financial  Officer,JPMorgan Chase & Co.,"So call it $90 billion run rate on an exit rate basis, and we're saying that we think something a bit more normal is closer t o $80 billion, so that's
one building block.
Underneath that, I think one thing that's interesti ng actually, is that as the percentage of the deposits which are CDs increases, the sort of
balance between internal migration and betas and rate and volume, it's a little bit less binary and a little bit smoother, so  when we look at this
type of stuff and  we model migration, balances, product level reprice, as you get out of that lower zero bound with 0% CD mix world, things get
a little bit smoother, I would say, overall.
So it'll be interesting to watch that, but it's obviously one of the most important  things for us as a company right now and we do everything we
can to manage it, but it's also worth remembering that the big picture point is just the client franchise and as we've often said, we're very
focused on primary bank relationships and we didn't lose any of those in the last cycle, and we're not planning to lose any in this cycle, and
that's what sort of a long -term focus means for us.",2023,3
8,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"And I would just add quantitative tightening in there. That will be a large number, and we don't exactly know the effect, where wholesale,
consumer as – remember also the Fed has the R RP program which is also sucking money into the Fed directly and reducing deposits. That's
still a trillion too.",2023,3
9,7,Erika Najarian,Analyst,UBS S ecurities LLC,"Thank you. And my second question is on maybe zooming out on the Basel III Endgame impacts. It's clearly complex, overly comp lex, and I
completely agree with you that it is unnecessary at this point and very backward looking. I guess, what is not complex is the fact that you
generated 75 basis points of CET1 this quarter while your RWAs are down. And I guess my question here is, is that I understan d that we're in
the public advocacy process.
I hear you loud and clear in terms of  how this could have harm in terms of pricing for Main Street and dislocating the pipes in American capital
markets. But for JPMorgan, does this change your natural return profile of 17%? Jamie, I know you lingered a little bit on 14 % when you were
at Barc lays in September. But at the end of the day, it feels like for the portfolio managers that own JPMorgan through the cycle, d oes Basel III
Endgame really harm your natural earnings power and returns?",2023,3
10,7,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. Okay. That's a good question, Erika. I think there's a couple pieces in there, so let me take the most important piece first, which  is the
17% through the cycle target. Are we keeping that or not in light of the Basel III Endgame proposal? So, short answer is we 're not going to
change that number today, but when you look at what we've disclosed about a 25% increase in capital, you have to start by ack nowledging
that that is a major headwind to returns.
Jeremy Barnum
Chief Financial Officer, JPMorgan Chase & Co.  A
In simple terms, you talk about earnings power and returns, but they're two different things, right. We have to be a little bit pedantic and do
numerator and denominator here. Okay, so say the numerator doesn't change. If you just dilute down the numerator by the incre ased capital,
that's a significantly lower retu rn number.
I would say that that's probably the lower bound in terms of the impact of the Basel III Endgame for a couple reasons. One is , we are hoping
for changes. Two is, once the rule is final, we will seek to reprice in the places where we can. And th at'll be different in Consumer and
Wholesale, some of it will be product level, some of it will be relationship level, but that hopefully can mitigate some of i t but of course the flip
side of that is that's cost getting passed into the real economy and th at's part of the point that we've made about lowering availability of
products and services and lending. There may be some opportunities for costless optimization. I'm personally a little bit mor e pessimistic about
those, but we've surprised ourselves on t hose points in the past, so we'll see.
And then finally, yeah, we may stop doing certain things and we may exit things. But, I wouldn't necessarily assume that that 's going to do a lot
to preserve returns at the 17%. That's going to be about exiting thing s that are shareholder -destructive, but not necessarily producing much
higher returns, if you know what I mean.
So that's that, and then the other part of your question implicitly was talking about organic capital generation and I think it's just very imp ortant
to separate impacts on the economy and impacts on long -term returns from our ability to meet the requirements. Of course, as Jamie always
says, JPMorgan is going to be fine and we're building a lot of capital and we were managing capital conservativ ely and we'll be able to build
the necessary capital in order to achieve on -time or early compliance, which is always what we strive to do, but that doesn't really have any
particular bearing on the question of what the long -term return target is or the im pacts on the real economy.",2023,3
11,7,Erika Najarian,Analyst,UBS Securities LLC,Got it. Thank you.,2023,3
0,8,Glenn Schorr,Analyst,Evercore ISI,"Hi. Thank you. So I very much appreciate the comments in the release on the big picture things, what's going on in the world and their
potential impact on markets, on food ma rkets, global trade, everything that you mentioned, and sadly agree about the most dangerous time in
decades. The question I have is, does it surprise you that markets are hanging in, that you, yourself, have green shoots or s till green shoots
type of mind set about banking while that's going on? And then maybe more importantly, if you believe what obviously what you wrote, what
are you doing about it? How do you manage yourself conservatively? How do you prepare for tougher times?",2023,3
1,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorga n Chase & Co.,"Go ahead, Jeremy.",2023,3
2,8,Jeremy Barnum,Chief Financial  Officer,JPMorgan Chase & Co.,"You want to start? Okay. So, I mean, on green shoots, you'll just note that our comments are cautious. I mean, there is momen tum. I do think
we are a little bit more optimistic than we were, but obviously, markets have bee n bumpy, both equity markets and rate markets have been
very whippy recently. So we don't want to get too carried away with optimism here. We are coming in off a very low base and s o there's a
hope and an expectation that we are on the path to normalizatio n and improvement. And of course, the overall economic picture at least
currently looks solid, this sort of immaculate disinflation trade is actually happening. So those are all reasons to be a lit tle bit optimistic in the
near-term, but it's tempered with quite a bit of caution.",2023,3
3,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"So I would add a question. There has been an extraordinary amount of fiscal monetary stimulus still in the system, and you can't look at, and
of course, it can drive markets in sentiment and sales and profits and all that, but you can't stay like this forever. Betwee n QT, if you never had
and how much the fiscal stimulus could continue at this rate before you h ave kind of the crowding out kind of factor. So I think people have to
be very cautious, and of course, the geopolitics I think is just an extraordinary issue we have to deal with. How do you prep are the company
for that?
We do 100 stress tests a week, an d we do multiple views of it, including geopolitical problems, interest rate problems, but usually, geopolitics
presents itself as a deep recession or a mild recession, or a recession part of the world, or markets going down a lot, and b ecause markets do
well is not a reason, ever, to say that they are going to continue to do well.
If you don't believe me, remember 1987, 1990, 1994, the year 2000, the year 2009, and people don't predict those inflection p oints. But my
caution is that we are facing so many uncertainties out there. You just got to be very cautious with what you're facing. And like I said, the other
thing about the green shoots, regardless of that, we try to run the company so that we serve the clients day in and day out, better products and
better services, securely, safely, and all those things, so that's the ultimate goal.
We know there are going to be bad times. That's not a surprise that there are going to be bad times. We don't always know how they're
coming, and where they're coming fro m, but we'll keep on serving clients and doing good for clients, you can build a good business kind of
separate from what it does to your returns. That's a slightly different issue at this point, but we'll deal with that too whe n we figure out what to
do.",2023,3
4,8,Glenn Schorr,Analyst,Evercore ISI,"Thank you for all that, all good.",2023,3
5,8,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Thanks, Glenn.",2023,3
0,9,Mike Mayo,Analyst,Wells Fargo Securities LLC,"Hi. I understand the NII strategy benefited from First Republic, asset sensitivity, CD strategy, money in motion, and I'm cur ious to how much is
the NII increase and the deposit benefits a function of the 67 million digital banking customers? Do you have more digital banking cu stomers
than branch customers now? If you can just refresh that.
And then a more general question. I guess I have the first one fo r Jeremy and the second one for Jamie. You have record tech spend. What's
the benefit of having record tech spend, if you can kind of mark -to-market your thoughts there as it relates to AI, as it relates to maybe wasted
spending, your outlook for next year ? And does it really help to be the biggest tech spender in the banking industry?",2023,3
1,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yes. Let me do digital banking, Mike. I spent some time on this actually a couple weeks ago. And it's interesting to note thi s sort of extent to
which the growth in digitally engaged consumers is higher than the overall growth in consumer accounts, meaning that we're co ntinuing to
increase the percentage of our consumers that are digitally engaged. And it sort of goes back to my prior poi nt...",2023,3
2,9,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,But the percent who are digital only is much lower than that .,2023,3
3,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"For sure. For sure. Which actually links to the broader point that what – in terms of your question about how much is this helping the current
NII story, it goes to the larger point of it holistic through the cycl e, multichannel, fully engaged customer strategy which requires a lot of
investment in branches, obviously, but also in digital services of all sorts. So in many ways, you can see the current enviro nment as a little bit
of a payoff of that investment. But that's not like, therefore, we stop investing, obviously.
So I guess that's part of the answer. And I guess your other question is the benefits of being the biggest tech spender. I ju st think like it's sort
of mandatory, right? I mean we're big and it's a  very technology -centric business , and the world is competitive, and everything is changing.
Younger generations have different expectations, and we have to be nimble, and we have to be on our front foot. And otherwise , we risk
getting severely disrupted. So I don't know if Jamie wants to add anything.",2023,3
4,9,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Just the competition, when we look at it, it's Wells, who's coming back, which I'm happy for you guys. It's obviously Marcus,  it's Apple, it's
Chime, it's Dave. Ther e are a lot of people coming up after these businesses in different ways, and there some have been quite successful.
It's Stripe in payments. And so we want to be very good and very competitive. Some of that tech spending is things which are almost a sine
qua non, which is cybersecurity, data center resiliency, regulatory requirements, and things like that, which we simply are g oing to do and be
very, very good at to protect the company.",2023,3
5,9,Mike Mayo,Analyst,Wells Fargo Securities LLC,"As it relates to AI specifically, which is the tal k of the town, I guess the consensus among people outside the banking industry is that banks will
not win that battle, including JPMorgan. You won't control the front end. What are you doing with AI to make a difference now , or is this just
simply a moon s hot?",2023,3
6,9,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Oh, I don't agree with that statement. Banks have an extraordinary amount of proprietary data in addition to when you do like  a large language
model, that's public data, looking at everything on the internet or ev erything that's ever been published or something like that. But AI is an
extraordinarily good tool to use. We just put a woman who's running it at our table. So it's data analytics, AI, et cetera. A nd there are multiple
types of AI. So we use AI for risk, fraud, marketing, prospecting. And the management team's getting better and better at saying how can we
use the data to do a better job to reduce errors, to serve clients better, to have a salesperson have co -pilots so they know to widen the client's
coin or something like that. And so, we simply have to do it. Does it create opportunity for disruptors to come in? Yeah, of cours e. That's
always been true with technology. And, but, we'll be quite good at it .",2023,3
7,9,Mike Mayo,Analyst,Wells Fargo Securities LLC,"And then lastly, I think you h ad made a mention at a conference about investment spend or tech spend over the next year. Where do you
stand on that?",2023,3
8,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. Now because you did ask a little bit about the expense outlook for next year. So I think at the conference we said, I think the consensus
was $88 billion, but we're still going through the budget process, et cetera, et cetera. So that's still true. I think we're still kind of in the ballpark,
but I would say at the margin there's going to be a li ttle bit of upward pressure.",2023,3
9,9,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Is that for First Republic too, or no?",2023,3
10,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, this is all now including First Republic. And I think there will be a little bit of upward pressure on t hat as we sort of do our usual thing and
look at all of the opportunities that we see and the investments that we want to make. So no surprise in that sense that we'r e going to invest
prudently. Nothing dramatic, but probably a little bit of upward pressur e at the margin.",2023,3
11,9,Mike Mayo,Analyst,Wells Fargo Securities LLC,All right. Thank you.,2023,3
12,9,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,Thank you.,2023,3
0,10,Jim Mitchell,Analyst,Seaport Global Securities LLC,"Hey. Good morning. Jeremy, do you think there's any receptivity among regulators regarding the double counting not only of op erational risk
but I think you alluded to this earlier in the Markets business, but there's clearl y double counting in market risk in the trading book. Is there any
receptivity?",2023,3
1,10,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Can I just answer that real quickly? We don't really know. It's a one -sided conversation generally. They say put it in your comments, so
everyone is going to put in extensive comments, kind of like you heard from Jeremy and we don't really know. We don't really know what's
going on inside the Fed, how many people get involved. In my view, it's become a very politicized process as opposed to the technical
analysis I think is required to do it exactly right. So we'll see.",2023,3
2,10,Jim Mitchell,Analyst,Seaport Global Securities LLC,"Okay. And then if it weren't to change, and you talked about the potential negative impact on liquidity in the Markets busine ss specifi cally, is
that a JPM pulling out of certain businesses type event? Or is it more a comment that there'd be fewer providers of liquidity  as less scaled
players exit, and maybe that's almost equal a market share gain opportunity for JPMorgan in a smaller bus iness?",2023,3
3,10,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"I think so if you look at Markets alone, it's a huge, I think 60%, increase in capital. And if you look at it, you can do tha t by product. For some
products it's worse than for others, but general ly it's bad across all products. But the really important thing is market making is a critical
function and if you look at the world, only some of these large market makers who could make markets for governments, hospita ls, cities,
schools, states, IMF, Wo rld Bank, BlackRock, Blackstone, and all those various things who buy and sell for their clients in size. And market
makers have a different function than hedge funds, and I don't know what the real intent was with this. This is another one I  think that ne eds to
be really thought through with what are you trying to accomplish.
We do market making quite safe. We've never lost the kind of money that people talk about in market making in the global mark et shock or
something like that, but the other thing abou t market making, I do agree, it could actually force some people out. It will force lower positions
which is why I think it's a little risky, but it may also force more consolidation. And so clients, since they need it so muc h, there may be
consolidation i n an unintended way in market making and obviously more volatile markets because with all the constraints, with the LCR, SLR,
capital, et cetera, you will constantly be up against limitations in what you can do.",2023,3
4,10,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. And I think that last point of Jamie's is particularly important because, sure, if you want, you can construct what I would c onsider a very
optimistic argument that the higher cost of doing business will lead smaller scale players to exit and that's a shar e gain opportunity for us, but
if I refer back to the comments about the disincentives to beneficial diversification and scale, getting bigger, especially i n markets is quite
expensive from, for example, a GSIB perspective, and so you wind up kind of hemme d in on all sides which is one of the reasons why we're
sort of highlighting, but it does seem like the only way out, sometimes, when you look at the cumulative effect of everything  that's happened in
markets over the last 15 years, is a fundamentally very  different system, and while obviously...",2023,3
5,10,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Great opportunity for European market makers. I mean, a great opportunity, like they can do repo and FX and swaps and credit and stuff with
30% less capital. That is a big  difference in that kind of business.",2023,3
6,10,Jim Mitchell,Analyst,Seaport Global Securities LLC,Right. That's helpful. Thanks.,2023,3
0,11,Matt O'Connor,Analyst,Inc.,"Hi, good morning. You talked about increased investment spend in some areas in response to an earlier question. But just how do you think
about cost control overall, looking at the medium term? The outlook for revenue is obviously pressured at least on net interest inc ome. Fees
might help, but the backdrop is for potentially declining revenue or at least flattish revenue for a couple or few years.  So, I know you always
say you want to invest for the cycle, and it's really paid off over time, but how are you thinking about cost control the nex t few years?",2023,3
1,11,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. I mean, I wish I had sort of an answer that fit better into your framework. But in some fundamental sense, we just kind of don't agree
with the framework in the sense that and we've been through this over the last couple of years, right? In a world where rates  drop very
suddenly and recover like quite dramatic ally, and credit becomes abnormally good and then rebounds, and you've seen these very significant
fluctuations in capital markets. We  saw that in 2021 going into 2022 where the revenue environment can change a lot in the short term for
reasons that can be  largely out of your control.
And while of course there are parts of our expense base, which are in the short term directly sensitive to the revenue enviro nment and some
of those adjust naturally and some of them we adjust more forcefully as a function of volumes, but other things are much more structural. And
the goal is to make sure that those other things are sized appropriately to what we believe sustainable through the cycle ret urns are. So we're
always very focused on  cost. You can be rest assured of that. That discipline internally is as aggressive as ever as we go through the budget
cycle. But there are long -term plays and you really shouldn’t expect us to see trying to generate cosmetically lower costs in response t o a
lower revenue environment where we didn’t balloon the costs when the revenue became as we’ve argued unsustainably high.",2023,3
2,11,Matt O'Connor,Analyst,Inc.,"Yeah. Fair enough. And if I could just squeeze in on First Republic, obviously the contribution there is coming in multiples higher -than-
expected. How do you think about the puts and takes in terms of, I think there's probably some run -off of loans still to come, but also
opportunities to deepen the relationships there?",2023,3
3,11,Jeremy Barnum,Chief Financial Officer,JPMorga n Chase & Co.,"Yeah. So you're right about the contribution and about the run -off of loans, and it is notable the First Republic related net income that we've
printed this quarter – so the first thing to say is that we don't think that that First Republic related net income number from this quarter is a
sustainable indicator of the future run rate. Some of the same dynamics that we've just talked about, in particular, over -earning on deposits or
sort of above normal on deposit margins, also apply t o the First Republic franchise to some degree. So we would expect that to normalize.
And probably more significantly as the things you alluded to, we do have some accelerated pull to par on some of the commitme nts that we
took on at a fair value discount a s part of the acquisition, so that's a short -term tailwind in the revenue that will come out of that over the next
few quarters.
And yeah, in terms of how it's going overall and deepening the relationships, that remains a focus and I think more of that w ill happen as we
continue the integration and we continue stabilizing. And yeah, I think as I said on the press call, things are going well ar guably a little bit
better than we'd sort of modeled as part of the acquisition, and we're happy to see that.",2023,3
4,11,Matt O'Connor,Analyst,Inc.,Okay. Thank you very much.,2023,3
0,12,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,Thank you very much.,2023,3
0,1,Matt O’Connor,Analyst,Inc.,Good morning. Thanks for all the comments on the net interest income. Any updates on that medium term outlo ok that you've put out there ?,2023,4
